Event Date,Event ID,Event Name,Location,Organizer Name,Number of Attendees,Feedback Score
2024-07-31,1026,community cleanup,Community Center,David Lee,145,10.0
2024-07-09,1904,food drive,Downtown Hall,David Lee,Twenty,8.0
2024-07-12,2000,charity run,Town Square,John Smith,70,9.0
2024-07-10,1782,food drive,High School,,55,5.0
2024-07-19,1062,food drive,Central Park,,Twenty,
2024-07-06,1457,community cleanup,,Megan Bowen,101,9.0
2024-07-27,1125,,Town Square,John Smith,217,Excellent
2024-07-28,1133,charity run,Community Center,Lee Gu,77,8.0
2024-07-27,1115,community cleanup,High School,Nestor Wilke,290,
2024-07-30,1771,blood donation camp,,Isaiah Langer,71,3.0
2024-07-31,1149,blood donation camp,Community Center,Lynne Robbins,24,7.0
2024-07-02,1231,,,David Lee,294,5.0
2024-07-27,1550,fundraising gala,Community Center,Lynne Robbins,Twenty,Excellent
2024-07-12,1532,charity run,Community Center,Johanna Lorenz,Twenty,9.0
2024-07-07,1500,community cleanup,,,158,4.0
